src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.163.1.249,216.239.32.223,60689,443,6,2026-04-02 07:54:18,92.88332796096802,12365.74986291038,25.537414001754716,8.860578298247948,16.676835703506768,823,1549,1040348,108224,1514,54,1264.0923450789794,511.6688476919313,516,66,69.86701097482246,21.162816890976867,1514,54,484.22091062394605,643.6398905465012,414272.308702712,16460,30980,20,791,0.03917474819104513,15.049453973770142,0.0,0.5923669487713529,92.88332796096802,15.07026195526123,0.0,0.11299674934424334,1.005067539310344,92.60897588729858,15.075340032577515,0.0,0.059824919823836295,0.7383875482883563,133,40,0,0,0,0,0,173,2372,0,0,1.882138517618469,484.22091062394605,2048,11844,0,0,0,0,0,0,0,0,163973.16666666666,130.16666666666666,568.875,164.125,4072767.4680131623,985.8177910049153,1264.0923450789794,69.86701097482246,0,823,1549,1040348,108224
10.163.0.26,255.255.255.255,35956,29810,17,2026-04-02 07:54:20,90.31247401237488,45.48651827915942,0.06643600527627957,0.06643600527627957,0.0,6,0,4108,0,688,684,684.6666666666666,1.4907119849998596,0,0,0,0.0,688,684,684.6666666666666,1.4907119849998596,2.222222222222222,120,0,20,6,18.062494802474976,50.18112087249756,0.0,17.266386070798063,90.31247401237488,50.18112087249756,0.0,18.062494802474976,17.266386070798063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.6666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.6666666666666,0,0,6,0,4108,0
10.163.0.88,255.255.255.255,38580,29810,17,2026-04-02 07:54:20,90.32438588142395,85.41436429059256,0.11071207296253086,0.11071207296253086,0.0,10,0,7715,0,773,771,771.5,0.806225774829855,0,0,0,0.0,773,771,771.5,0.806225774829855,0.65,200,0,20,10,10.036042875713772,20.069296836853027,0.0,4.730439695739798,90.32438588142395,20.069296836853027,0.0,10.036042875713772,4.730439695739798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,771.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.5,0,0,10,0,7715,0
10.163.0.123,255.255.255.255,46180,29810,17,2026-04-02 07:54:20,90.2929117679596,51.12250684596912,0.06645039884658031,0.06645039884658031,0.0,6,0,4616,0,776,768,769.3333333333334,2.981423969999719,0,0,0,0.0,776,768,769.3333333333334,2.981423969999719,8.888888888888888,120,0,20,6,18.05858235359192,30.175945043563843,0.0,11.729398695982724,90.2929117679596,30.175945043563843,0.0,18.05858235359192,11.729398695982724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,769.3333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769.3333333333334,0,0,6,0,4616,0
10.163.9.146,255.255.255.255,10004,10004,17,2026-04-02 07:54:17,95.33091902732849,48.51521465637138,0.388121717250971,0.388121717250971,0.0,37,0,4625,0,125,125,125.0,0.0,0,0,0,0.0,125,125,125.0,0.0,0.0,740,0,20,37,2.6480810840924582,8.929367065429688,0.0,1.8945856308665037,95.33091902732849,8.929367065429688,0.0,2.6480810840924582,1.8945856308665037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0,0,37,0,4625,0
10.163.1.249,216.239.38.223,60680,443,6,2026-04-02 07:54:19,93.0810399055481,6288.573920037505,14.417544124579662,4.1576673444205134,10.259876780159148,387,955,506959,78388,1514,54,1309.9715762273902,465.65086755877417,1466,66,82.55020920502092,107.4766034185255,1514,54,435.96949404761904,616.0816802325779,379097.4420935731,7780,19140,20,358,0.06941166286767196,15.042155027389526,0.0,0.8796327540683586,93.0810399055481,15.079092025756836,0.0,0.2411425904288811,1.6376520876363903,92.92187190055847,15.131776094436646,0.0,0.09740238144712628,1.045911130259308,41,28,0,0,0,0,0,69,1346,0,0,2.4601542416452444,435.74294205052007,2048,16388,0,0,0,0,0,0,0,0,119144.5,88.5,1436.888888888889,96.88888888888889,394964041.04169136,2350.4440639854606,1309.9715762273902,82.55020920502092,0,387,955,506959,78388
10.163.9.146,10.163.255.255,53630,22222,17,2026-04-02 07:54:19,92.90427708625793,17.329665011064872,0.24756664301521245,0.24756664301521245,0.0,23,0,1610,0,70,70,70.0,0.0,0,0,0,0.0,70,70,70.0,0.0,0.0,460,0,20,23,4.222921685738997,14.9514639377594,0.0,3.2095496230942846,92.90427708625793,14.9514639377594,0.0,4.222921685738997,3.2095496230942846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,23,0,1610,0
10.163.9.146,10.163.255.255,53632,3289,17,2026-04-02 07:54:19,92.90426707267761,12.91652189733393,0.2152753649555655,0.2152753649555655,0.0,20,0,1200,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,400,0,20,20,4.889698266983032,14.95147705078125,0.0,3.530128117188181,92.90426707267761,14.95147705078125,0.0,4.889698266983032,3.530128117188181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,20,0,1200,0
10.163.0.48,255.255.255.255,38024,29810,17,2026-04-02 07:54:21,90.21136283874512,60.790568143868704,0.08868062457165383,0.08868062457165383,0.0,8,0,5484,0,687,684,685.5,1.0,0,0,0,0.0,687,684,685.5,1.0,1.0,160,0,20,8,12.887337548392159,20.075496912002563,0.0,7.00692903988811,90.21136283874512,20.075496912002563,0.0,12.887337548392159,7.00692903988811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,685.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.5,0,0,8,0,5484,0
10.163.0.52,255.255.255.255,39680,29810,17,2026-04-02 07:54:21,90.19673013687134,53.12831177724799,0.07760813489998662,0.07760813489998662,0.0,7,0,4792,0,685,684,684.5714285714286,0.4948716593053935,0,0,0,0.0,685,684,684.5714285714286,0.4948716593053935,0.2448979591836735,140,0,20,7,15.032788356145224,30.008023023605347,0.0,9.566445234429082,90.19673013687134,30.008023023605347,0.0,15.032788356145224,9.566445234429082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.5714285714286,0,0,7,0,4792,0
10.163.9.146,255.255.255.255,58642,22222,17,2026-04-02 07:54:17,96.02212715148926,15.308971417398984,0.21869959167712835,0.21869959167712835,0.0,21,0,1470,0,70,70,70.0,0.0,0,0,0,0.0,70,70,70.0,0.0,0.0,420,0,20,21,4.801106357574463,11.972867965698242,0.0,2.5822517775667957,96.02212715148926,11.972867965698242,0.0,4.801106357574463,2.5822517775667957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,21,0,1470,0
10.163.9.146,255.255.255.255,58643,22222,17,2026-04-02 07:54:17,96.02232384681702,16.037937203610475,0.2291133886230068,0.2291133886230068,0.0,22,0,1540,0,70,70,70.0,0.0,0,0,0,0.0,70,70,70.0,0.0,0.0,440,0,20,22,4.5724916117531915,9.016631841659546,0.0,2.1961701907736884,96.02232384681702,9.016631841659546,0.0,4.5724916117531915,2.1961701907736884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,22,0,1540,0
10.163.9.146,255.255.255.255,58644,3289,17,2026-04-02 07:54:17,96.02400302886963,12.496875386867801,0.2082812564477967,0.2082812564477967,0.0,20,0,1200,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,400,0,20,20,5.053894896256296,18.025495052337646,0.0,3.6574813887205857,96.02400302886963,18.025495052337646,0.0,5.053894896256296,3.6574813887205857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,20,0,1200,0
10.163.0.22,255.255.255.255,49754,29810,17,2026-04-02 07:54:22,90.23029685020447,37.90301173094556,0.05541375984056368,0.05541375984056368,0.0,5,0,3420,0,684,684,684.0,0.0,0,0,0,0.0,684,684,684.0,0.0,0.0,100,0,20,5,22.557574212551117,40.13499593734741,0.0,17.925281283240086,90.23029685020447,40.13499593734741,0.0,22.557574212551117,17.925281283240086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.0,0,0,5,0,3420,0
10.163.0.116,255.255.255.255,57918,29810,17,2026-04-02 07:54:23,90.36496496200562,51.24773746049839,0.0663974141142281,0.0663974141142281,0.0,6,0,4631,0,772,771,771.8333333333334,0.3726779962499649,0,0,0,0.0,772,771,771.8333333333334,0.3726779962499649,0.13888888888888887,120,0,20,6,18.072992992401122,40.14338493347168,0.0,14.743980919244896,90.36496496200562,40.14338493347168,0.0,18.072992992401122,14.743980919244896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,771.8333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771.8333333333334,0,0,6,0,4631,0
142.251.43.138,10.163.1.249,443,49773,17,2026-04-02 07:54:18,95.28159499168396,141.11854446993198,0.9025877453825784,0.472284285374605,0.4303034600079734,45,41,8042,5404,1143,66,178.7111111111111,248.24267895412544,754,75,131.8048780487805,159.5665194285634,1143,66,156.34883720930233,211.97360341599034,44932.80854515955,900,820,20,45,1.1209599410786348,10.630486965179443,0.0,2.5488805074207446,95.27571296691895,10.630728006362915,0.0,2.1653571128845215,3.2148293225987867,95.27432513237,10.630778074264526,2.384185791015625e-05,2.3818581283092497,3.2960112619752926,0,0,0,0,0,0,0,0,0,0,0,0.9111111111111111,156.34883720930233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.7111111111111,131.8048780487805,0,45,41,8042,5404
10.163.17.127,255.255.255.255,34613,29810,17,2026-04-02 07:54:22,91.86756587028503,43.20349584100378,0.07619664169489203,0.07619664169489203,0.0,7,0,3969,0,567,567,567.0,0.0,0,0,0,0.0,567,567,567.0,0.0,0.0,140,0,20,7,15.311260978380838,40.857048988342285,0.0,12.863157794068782,91.86756587028503,40.857048988342285,0.0,15.311260978380838,12.863157794068782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,567.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.0,0,0,7,0,3969,0
10.163.0.84,255.255.255.255,58765,29810,17,2026-04-02 07:54:23,90.22238898277283,68.24248470272302,0.09975351020375299,0.09975351020375299,0.0,9,0,6157,0,685,684,684.1111111111111,0.3142696805273545,0,0,0,0.0,685,684,684.1111111111111,0.3142696805273545,0.09876543209876544,180,0,20,9,11.277798622846603,20.098488092422485,0.0,6.017997116668759,90.22238898277283,20.098488092422485,0.0,11.277798622846603,6.017997116668759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.1111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.1111111111111,0,0,9,0,6157,0
10.163.0.53,255.255.255.255,32953,29810,17,2026-04-02 07:54:24,90.22130608558655,45.499230482275195,0.06650313834193695,0.06650313834193695,0.0,6,0,4105,0,685,684,684.1666666666666,0.37267799624996495,0,0,0,0.0,685,684,684.1666666666666,0.37267799624996495,0.1388888888888889,120,0,20,6,18.04426121711731,30.020216941833496,0.0,9.811297531999886,90.22130608558655,30.020216941833496,0.0,18.04426121711731,9.811297531999886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,684.1666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.1666666666666,0,0,6,0,4105,0
10.163.0.69,255.255.255.255,60909,29810,17,2026-04-02 07:54:24,90.21821904182434,37.89700169557751,0.055421178262032036,0.055421178262032036,0.0,5,0,3419,0,684,683,683.8,0.4,0,0,0,0.0,684,683,683.8,0.4,0.16,100,0,20,5,22.554554760456085,70.1404390335083,0.0,27.777727498455736,90.21821904182434,70.1404390335083,0.0,22.554554760456085,27.777727498455736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,683.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683.8,0,0,5,0,3419,0
10.163.0.87,255.255.255.255,49570,29810,17,2026-04-02 07:54:24,90.32145190238953,84.91891835716919,0.11071566930530534,0.11071566930530534,0.0,10,0,7670,0,767,767,767.0,0.0,0,0,0,0.0,767,767,767.0,0.0,0.0,200,0,20,10,10.035716878043281,20.074334859848022,0.0,4.73186184739422,90.32145190238953,20.074334859848022,0.0,10.035716878043281,4.73186184739422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.0,0,0,10,0,7670,0
10.163.9.146,10.163.255.255,53631,22222,17,2026-04-02 07:54:22,92.98606991767883,15.808819550083152,0.22584027928690217,0.22584027928690217,0.0,21,0,1470,0,70,70,70.0,0.0,0,0,0,0.0,70,70,70.0,0.0,0.0,420,0,20,21,4.649303495883942,12.028809070587158,0.0,2.757977438866629,92.98606991767883,12.028809070587158,0.0,4.649303495883942,2.757977438866629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,21,0,1470,0
